NAME;TYPE;SUBTYPES;LEVEL;IMAGE;ATTACK;DEFENSE;EFFECT1;EFFECT2;SERIAL;RARITY;TRANSPARENCY;EFFECT1_STYLE;EFFECT2_STYLE
Baby Fire Tethyr;Fire;Aquatic;1;../images/units/fire/Baby Fire Tethyr.jpeg;200;300;Until your next turn, all aquatic cards you control become rank 2.;You can rank up this card using a water card.;B104dG00U8Y500;0;50;echo;passive
Inklash;Water;Aquatic;2;../images/units/water/Inklash.jpeg;320;680;Add one aquatic card from your deck to your hand.;This card gains 300 attack for every fire card underneath it.;U204KxDRA0T500;0;50;None;passive
Baby Kikotadu;Water;Aquatic;1;../images/units/water/Baby Kikotadu.jpg;95;405;Add up to two rank 2 aquatic cards from your discard pile to your hand.;Add up to two rank 2 aquatic cards from your deck to your hand.;B104Kx9uA0A000;0;50;None;None
Tiko;Fire;Spellcaster;1;../images/units/fire/Tiko.jpg;95;405;Add one rank 3 spellcaster card from your discard pile to your hand.;Add up to two rank 4 or higher spellcaster cards from your discard pile to your hand.;T10aes9uA0A000;0;60;None;None
Turtle-E;Fire;Machine, Reptile;1;../images/units/fire/Turtle-E.jpg;95;405;Swap one machine card you control with one machine card from your discard pile.;Add up to two rank 1 machine cards from your deck to your hand.;T108ee9uS0A000;0;60;None;None
Turtlenaught;Fire;Machine, Reptile;2;../images/units/fire/Turtlenaught.jpg;245;755;Discard this card to add one rank 2 or higher machine card from your discard pile to your hand.;Discard this card to add one rank 3 or lower machine card from your deck to your hand.;T208eeBTD4D400;0;60;latent;latent
Turtonka;Fire;Machine, Reptile;1;../images/units/fire/Turtonka.jpg;0;500;Until your next turn, all beast cards you control become rank 2.;Discard this card to add one rank 2 or higher machine card from your discard pile to your hand.;T108ee0zU0D400;0;60;None;latent
Winged Furrorat;Fire;Avian, Beast;1;../images/units/fire/Winged Furrorat.jpg;265;235;Add one rank 2 beast card from your discard pile to your hand.;Add one rank 1 beast card from your deck to your hand.;W108eekhA0A000;0;60;None;None
Ember Flipfish;Fire;Aquatic;2;../images/units/fire/Ember Flipfish.jpeg;655;345;When a aquatic card is destroyed, gain one point.;Discard one aquatic card to counter the effect of a rank 2 unit card.;E204dGPdW0D200;0;60;None;counter
Molten Turtle Beast;Fire;Reptile;4;../images/units/fire/Molten Turtle Beast.jpg;880;1120;This turn, all reptile cards gain 200 attack.;Whenever a reptile card you control is attacked, you may redirect the attack to this card.;M40aemGMT0W000;0;60;None;None
Selamantio Phoenix;Fire;Avian, Fairy;4;../images/units/fire/Selamantio Phoenix.jpg;880;1120;Discard this card to add one rank 3 avian card from your deck to your hand.;Skip your next turn to destroy all spell cards on the field.;S406MGGMD4S000;0;60;latent;None
Pufflim;Fire;Elemental;1;../images/units/fire/Pufflim.jpg;140;360;This turn, change one elemental card to any other subtype.;Add up to two rank 2 or higher elemental cards from your deck to your hand.;P10AZkCST0A000;0;50;None;None
Molticrab;Fire;Aquatic;3;../images/units/fire/Molticrab.jpeg;1205;295;Add up to two aquatic cards from your discard pile to your hand.;This turn, all aquatic cards gain 300 attack.;M304dGUAA0T000;0;60;None;None
Lavaclaw;Fire;Aquatic;3;../images/units/fire/Lavaclaw.jpeg;1205;295;Add up to four rank 2 aquatic cards from your deck to your hand.;While this card is under another, all water cards you control gain 300 attack.;L304dGUAA0W400;0;60;None;latent
Flagon Fly;Fire;Avian, Insect;1;../images/units/fire/Flagon Fly.jpeg;45;455;Add one rank 1 avian card from your deck to your hand.;You can play one extra insect card this turn.;F106rf4XA0Y000;0;60;None;None
Moist Fireboi;Fire;Elemental;1;../images/units/fire/Moist Fireboi.jpeg;45;455;Add up to two rank 3 or lower aquatic cards from your discard pile to your hand.;Add one rank 3 aquatic card from your deck to your hand.;M10AZk4XA0A000;0;60;None;None
Aquaflamier;Fire;Aquatic;3;../images/units/fire/Aquaflamier.jpeg;715;785;Lose four points to untap up to four water cards you control.;Discard one aquatic card to add one aquatic card from your discard pile to your hand.;A304dGhkL0D700;0;60;None;overload
Diaphin Firefish;Fire;Aquatic;2;../images/units/fire/Diaphin Firefish.jpeg;525;475;Discard one aquatic card to counter the effect of a rank 3 unit card.;While this card is on the field, aquatic cards cannot be targeted by effects.;D204dGkhD2W100;0;60;counter;continuous
Flame Scorpid;Fire;Reptile;1;../images/units/fire/Flame Scorpid.jpeg;305;195;Both players lose one point for each reptile card they control.;Add up to two rank 1 reptile cards from your deck to your hand.;F10aemNFB0A000;0;50;None;None
Flimflip;Fire;Avian, Beast, Elemental;1;../images/units/fire/Flimflip.jpg;305;195;Discard this card to add one elemental card from your deck to your hand.;Add up to two rank 1 elemental cards from your deck to your hand.;F104ZXNFD4A000;0;60;latent;None
Hogmoid;Fire;Beast, Elemental;1;../images/units/fire/Hogmoid.jpg;175;325;Return one elemental card from your discard pile to your hand.;Both players gain two points for each elemental card they control.;H1085sEoR0B000;0;60;None;None
