EFFECTNAME;UNIT;SPELL;LEVEL_1;LEVEL_3;LEVEL_2;LEVEL_4;LEVEL_5
Activate the effect of a card under another card.;True;True;True;True;True;True;True
Activate the effect of a card under this card.;False;True;True;True;True;True;True
Add one air card from your deck to your hand.;False;True;True;False;False;False;False
Add one air card from your discard pile to your hand.;False;True;True;False;False;False;False
Add one aquatic card from your deck to your hand.;True;False;True;False;True;False;False
Add one aquatic card from your discard pile to your hand.;True;False;True;False;True;False;False
Add one beast card from your deck to your hand.;True;False;True;False;True;False;False
Add one beast card from your discard pile to your hand.;True;False;True;False;True;False;False
Add one botanic card from your deck to your hand.;True;False;True;False;True;False;False
Add one botanic card from your discard pile to your hand.;True;False;True;False;True;False;False
Add one card from your deck to your hand.;False;True;False;True;False;False;False
Add one card from your discard pile to your hand.;False;True;False;True;False;False;False
Add one creature from your deck to your hand.;False;True;False;True;False;False;False
Add one creature from your discard pile to your hand.;False;True;False;True;False;False;False
Add one dark card from your deck to your hand.;False;True;True;False;False;False;False
Add one dark card from your discard pile to your hand.;False;True;True;False;False;False;False
Add one dragon card from your deck to your hand.;True;False;True;False;True;False;False
Add one dragon card from your discard pile to your hand.;True;False;True;False;True;False;False
Add one earth card from your deck to your hand.;False;True;True;False;False;False;False
Add one earth card from your discard pile to your hand.;False;True;True;False;False;False;False
Add one electric card from your deck to your hand.;False;True;True;False;False;False;False
Add one electric card from your discard pile to your hand.;False;True;True;False;False;False;False
Add one elemental card from your deck to your hand.;True;False;True;False;True;False;False
Add one elemental card from your discard pile to your hand.;True;False;True;False;True;False;False
Add one fairy card from your deck to your hand.;True;False;True;False;True;False;False
Add one fairy card from your discard pile to your hand.;True;False;True;False;True;False;False
Add one fire card from your deck to your hand.;False;True;True;False;False;False;False
Add one fire card from your discard pile to your hand.;False;True;True;False;False;False;False
Add one ghost card from your deck to your hand.;True;False;True;False;True;False;False
Add one ghost card from your discard pile to your hand.;True;False;True;False;True;False;False
Add one insect card from your deck to your hand.;True;False;True;False;True;False;False
Add one insect card from your discard pile to your hand.;True;False;True;False;True;False;False
Add one light card from your deck to your hand.;False;True;True;False;False;False;False
Add one light card from your discard pile to your hand.;False;True;True;False;False;False;False
Add one machine card from your deck to your hand.;True;False;True;False;True;False;False
Add one machine card from your discard pile to your hand.;True;False;True;False;True;False;False
Add one rank 1 air card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 1 air card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 1 air card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 1 air card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 1 aquatic card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 aquatic card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 aquatic card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 aquatic card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 beast card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 beast card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 beast card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 beast card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 botanic card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 botanic card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 botanic card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 botanic card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 card from your deck to your hand.;False;False;True;True;True;False;False
Add one rank 1 card from your deck to your hand.;False;False;True;True;True;False;False
Add one rank 1 card from your discard pile to your hand.;False;False;True;True;True;False;False
Add one rank 1 card from your discard pile to your hand.;False;False;True;True;True;False;False
Add one rank 1 creature from your deck to your hand.;False;False;True;True;True;False;False
Add one rank 1 creature from your deck to your hand.;False;False;True;True;True;False;False
Add one rank 1 creature from your discard pile to your hand.;False;False;True;True;True;False;False
Add one rank 1 creature from your discard pile to your hand.;False;False;True;True;True;False;False
Add one rank 1 dark card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 1 dark card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 1 dark card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 1 dark card from your discard pile to your hand.;False;True;True;True;True;False;False
Add one rank 1 dragon card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 dragon card from your deck to your hand.;True;False;True;True;True;False;False
Add one rank 1 dragon card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 dragon card from your discard pile to your hand.;True;False;True;True;True;False;False
Add one rank 1 earth card from your deck to your hand.;False;True;True;True;True;False;False
Add one rank 1 earth card from your deck to your hand.;False;True;True;True;True;False;False
